house_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,zip,water_supply,heating_type,Furnishing Status,garage,Available
4879,313000,3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,98133,Well,Gas,Unfurnished,0,Y
4880,2384000,5,2.5,3650,9050,2,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,98134,Well,Gas,Semi-Furnished,1,N
4881,342000,3,2,1930,11947,1,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,98135,Municipal,Wood,Semi-Furnished,1,N
4882,420000,3,2.5,2000,8030,1,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,98136,Well,Coal,Unfurnished,2,Y
4883,550000,4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,98137,Municipal,Electric,Unfurnished,1,Y
4884,490000,2,1,880,6380,1,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,98138,Municipal,Electric,Unfurnished,2,Y
4885,335000,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,98139,Municipal,Electric,Unfurnished,2,N
4886,482000,4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,98140,Well,Wood,Unfurnished,1,Y
4887,452500,3,2.5,2430,88426,1,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,98141,Well,Coal,Unfurnished,1,Y
4888,640000,4,2,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,98142,Well,Coal,Semi-Furnished,0,N
4889,463000,3,1.5,1710,7320,1,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,98143,Well,Electric,Semi-Furnished,1,Y
4890,1400000,4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,98144,Well,Gas,Unfurnished,2,Y
4891,588500,3,1.5,2330,14892,1,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,98145,Municipal,Wood,Furnished,1,N
4892,365000,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,98106,Municipal,Gas,Unfurnished,2,Y
4893,1200000,5,2.5,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,98105,Well,Wood,Unfurnished,0,Y
4894,242500,3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,98042,Municipal,Coal,Furnished,1,Y
4895,419000,3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,98007,Well,Electric,Semi-Furnished,1,N
4896,367500,4,3,3110,7231,2,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,98092,Well,Gas,Unfurnished,2,Y
4897,257950,3,1.5,1370,5858,1,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,98198,Municipal,Electric,Unfurnished,1,Y
4898,275000,3,1.5,1180,10277,1,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,98045,Municipal,Electric,Unfurnished,2,Y
4899,750000,3,1.5,2240,10578,2,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,98115,Municipal,Electric,Unfurnished,1,Y
4900,435000,4,1,1450,8800,1,0,0,4,1450,0,1954,1979,3922 154th Ave SE,Bellevue,98006,Municipal,Electric,Unfurnished,2,N
4901,626000,3,2.5,1750,1572,2.5,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,98102,Municipal,Wood,Unfurnished,2,Y
4902,612500,4,2.5,2730,12261,2,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,98011,Well,Coal,Unfurnished,1,N
4903,495000,4,1.5,1600,6380,1,0,0,3,1130,470,1959,1989,2021 NE 100th St,Seattle,98125,Well,Gas,Semi-Furnished,1,Y
4904,285000,3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,98003,Municipal,Wood,Unfurnished,0,Y
4905,615000,3,1.5,2360,7291,1,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,98136,Well,Coal,Semi-Furnished,1,Y
4906,698000,4,2.5,2200,11250,1.5,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,98033,Well,Coal,Semi-Furnished,2,N
4907,675000,5,2.5,2820,67518,2,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,98029,Well,Wood,Unfurnished,0,Y
4908,790000,3,2.5,2600,4750,1,0,0,4,1700,900,1951,1999,3314 NW 75th St,Seattle,98117,Municipal,Electric,Unfurnished,1,Y
4909,382500,4,1.5,1560,8700,1,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,98034,Well,Wood,Unfurnished,2,Y
4910,499950,4,2.5,2860,3345,2,0,0,3,2190,670,2004,2003,20120 137th Ave NE,Woodinville,98072,Municipal,Gas,Unfurnished,1,N
4911,650000,4,2,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,98115,Municipal,Wood,Semi-Furnished,0,Y
4912,625000,4,2.5,2820,8408,2,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,98155,Municipal,Coal,Unfurnished,2,N
4913,400000,4,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,5172-5198 Heather Ave SE,Auburn,98092,Well,Wood,Unfurnished,2,N
4914,604000,3,2.5,3240,33151,2,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,98023,Well,Gas,Semi-Furnished,2,Y
4915,440000,2,1,800,4850,1,0,0,4,800,0,1944,0,4801-4899 6th Ave NW,Seattle,98107,Municipal,Coal,Unfurnished,0,N
4916,287200,3,3,1850,19966,1,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,98038,Municipal,Gas,Unfurnished,0,N
4917,403000,3,2,1960,13100,1,0,2,5,1650,310,1957,0,17825 4th Ave SW,Normandy Park,98166,Municipal,Wood,Semi-Furnished,0,Y
4918,750000,3,2.5,2390,6550,1,0,2,4,1440,950,1955,2009,3628 59th Ave SW,Seattle,98116,Municipal,Wood,Semi-Furnished,1,Y
4919,335000,3,2.5,1580,16215,1,0,0,4,1580,0,1978,2000,4460 332nd Ave SE,Fall City,98024,Municipal,Coal,Semi-Furnished,1,N
4920,260000,4,2,1480,8625,1,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,98055,Municipal,Wood,Furnished,0,Y
4921,308500,2,1,850,6174,1,0,0,4,850,0,1950,1983,121 NE 147th St,Shoreline,98155,Municipal,Wood,Unfurnished,0,N
4922,439950,3,2.5,1770,2875,2,0,0,3,1770,0,1990,2009,4458 51st Ave SW,Seattle,98116,Municipal,Electric,Semi-Furnished,1,Y
4923,235000,2,1,1210,9400,1,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,98106,Well,Gas,Semi-Furnished,2,N
4924,315000,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,15804 198th Pl NE,Woodinville,98077,Well,Coal,Semi-Furnished,1,Y
4925,437500,3,2.5,1970,35100,2,0,0,4,1970,0,1977,0,26069 SE 154th St,Issaquah,98027,Well,Coal,Semi-Furnished,2,Y
4926,407500,3,2.5,1930,10460,2,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,98059,Well,Wood,Unfurnished,2,N
4927,445700,3,2.5,1270,1180,3,0,0,3,1270,0,2001,0,2640 NW 56th St,Seattle,98107,Well,Coal,Semi-Furnished,1,N
4928,838000,4,2.5,3310,42998,2,0,0,3,3310,0,2001,0,15712 NE 136th Pl,Redmond,98052,Well,Gas,Semi-Furnished,1,N
4929,630000,4,2.5,2710,37277,2,0,0,3,2710,0,2000,0,26429 SE 154th Pl,Issaquah,98027,Well,Electric,Furnished,1,Y
4930,550000,3,1.5,2910,35200,1.5,0,0,3,2910,0,1979,2014,3923 229th Pl SE,Sammamish,98075,Municipal,Coal,Unfurnished,1,N
4931,805000,3,2,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,98115,Well,Wood,Unfurnished,2,N
4932,284000,3,1.5,1800,23103,1,0,0,3,1800,0,1968,1997,32418 NE 50th St,Carnation,98014,Municipal,Gas,Unfurnished,0,N
4933,470000,5,2.5,2210,9655,1,0,0,3,1460,750,1976,0,19334 89th Ave NE,Bothell,98011,Well,Wood,Semi-Furnished,2,N
4934,430000,4,1.5,1920,10000,1,0,0,4,1070,850,1954,1979,4071 156th Ave SE,Bellevue,98006,Well,Coal,Unfurnished,1,N
4935,491500,4,1.5,2190,125452,1,0,2,3,2190,0,1968,1997,36850 204th Ave SE,Auburn,98092,Well,Gas,Unfurnished,1,N
4936,785000,5,3.5,3660,11995,2,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,98065,Municipal,Electric,Semi-Furnished,0,N
4937,385000,3,3.5,1320,1327,2,0,0,3,1040,280,2008,0,3400 21st Ave W,Seattle,98199,Municipal,Electric,Semi-Furnished,0,N
4938,295000,2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,98106,Municipal,Wood,Semi-Furnished,0,Y
4939,555000,4,2.5,3310,6500,2,0,0,3,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,98065,Well,Gas,Unfurnished,2,Y
